site,Date,Sample,Idotea.resecata,Phyllaplysia.taylori,Caprella.spp.,Aoroides.columbiae,Photis.brevipes,Eogammarus.confervicolus,Pontogeneia.rostrata,Amph.E..dorsal.teeth.,Monocorophium.achersicum,Lottia.pelta,Leptochelia.dubia,Platynereis.bicanaliculata,Balanus.spp.,Pycnogonum.sp.,Pugettia.richii,Mytilus.trossulus,Nematode,Nebalia.sp.,Pagurus.quaylei,Lacuna.spp.,Janua.pagastecheri,Cirolana.harfordi,Halacarid.mite,Nemertea,Amphithoe.spp.,Pandalidae,Haminoea.sp.,Copepod,Margarites.helicinus,Alia.carinata,alpha.p,N
BE,2012-06-15,16,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
BI,2012-06-20,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18
BI,2012-06-20,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20
BI,2012-06-20,3,0,0,1,1,0,0,1,8,0,0,67,0,0,0,0,0,4,0,0,3,0,0,12,0,0,0,0,0,0,3,9,100
BI,2012-06-20,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,4,37
BI,2012-06-20,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,49,0,0,0,0,0,14,0,0,0,0,0,0,0,4,65
BI,2012-06-20,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3
BI,2012-06-20,7,0,0,0,3,0,0,1,6,0,0,0,1,0,0,0,0,8,0,0,0,0,0,19,0,0,0,0,0,0,0,6,38
BI,2012-06-20,8,0,0,0,2,0,0,0,0,2,0,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,37
BI,2012-06-20,9,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,9,84,0,0,1,0,0,51,0,1,0,0,0,0,0,7,162
BI,2012-06-20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,13,0,0,0,0,0,0,0,4,20
BI,2012-06-20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,0,0,0,0,0,14,0,0,0,0,0,0,0,3,64
BI,2012-06-20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
BI,2012-06-20,13,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,5,25
BI,2012-06-20,14,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,4,31
BI,2012-06-20,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,80,0,0,0,5,0,0,2,0,0,0,0,0,0,0,5,89
BI,2012-06-20,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3
CB,NA,1,16,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19
CB,NA,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35
CB,NA,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,108
CB,NA,4,9,0,0,0,1,0,1,0,0,0,43,0,0,0,0,87,0,0,0,0,0,0,42,0,0,0,0,0,0,0,6,183
CB,NA,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,132,15,0,0,0,0,0,5,0,0,0,0,0,0,0,4,153
CB,NA,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90
CB,NA,7,4,0,0,4,1,0,0,0,3,0,0,0,0,0,0,97,8,0,0,2,0,0,0,0,0,0,0,0,0,0,7,119
CB,NA,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CB,NA,9,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5,32
CB,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
CB,NA,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,5
CB,NA,12,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,5,65
CB,NA,13,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,189,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,225
CB,NA,14,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50
CB,NA,15,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,16,0,0,0,0,0,3,0,0,0,0,0,0,0,5,132
CB,NA,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,3,18
CC,2012-07-25,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
CC,2012-07-25,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
CC,2012-07-25,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
CC,2012-07-25,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
CC,2012-07-25,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,21,0,0,0,0,0,0,0,4,38
CC,2012-07-25,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,15
CC,2012-07-25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
CC,2012-07-25,8,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61
CC,2012-07-25,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
CC,2012-07-25,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,60,2,0,0,0,0,0,4,0,0,0,0,0,0,0,4,68
CC,2012-07-25,11,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
CC,2012-07-25,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CC,2012-07-25,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,42,0,0,0,0,0,0,32,0,0,0,0,0,0,0,3,76
CC,2012-07-25,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3,69
CC,2012-07-25,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8
CC,2012-07-25,16,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
DC,2012-06-27,1,0,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
DC,2012-06-27,2,5,0,216,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,232
DC,2012-06-27,3,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7
DC,2012-06-27,4,2,2,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,192
DC,2012-06-27,5,0,0,196,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,203
DC,2012-06-27,6,3,1,270,24,11,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,314
DC,2012-06-27,7,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27
DC,2012-06-27,8,5,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
DC,2012-06-27,9,0,0,653,9,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,680
DC,2012-06-27,10,5,0,319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,325
DC,2012-06-27,11,0,0,0,41,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46
DC,2012-06-27,12,0,0,492,22,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,522
DC,2012-06-27,13,0,0,566,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,596
DC,2012-06-27,14,0,0,431,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,448
DC,2012-06-27,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,5,18
DC,2012-06-27,16,0,0,826,19,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,849
EI,2012-07-23,1,0,22,0,0,1,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115
EI,2012-07-23,2,0,124,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,158
EI,2012-07-23,3,1,75,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,82
EI,2012-07-23,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,134
EI,2012-07-23,5,0,142,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,230
EI,2012-07-23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,492
EI,2012-07-23,7,0,240,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,278
EI,2012-07-23,8,0,139,0,9,0,0,0,0,0,0,0,54,0,172,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,399
EI,2012-07-23,9,0,0,58,3,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95
EI,2012-07-23,10,0,0,231,10,0,1,0,0,0,0,0,0,1,0,0,318,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,563
EI,2012-07-23,11,0,165,0,0,0,1,0,0,0,0,0,59,0,117,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,424
EI,2012-07-23,12,0,20,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99
EI,2012-07-23,13,0,11,56,3,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,137
EI,2012-07-23,14,0,0,131,0,4,0,0,0,0,0,0,0,0,289,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,776
EI,2012-07-23,15,1,88,0,0,2,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,157
EI,2012-07-23,16,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72
NB,NA,1,5,0,0,0,0,1,0,0,0,0,2,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21
NB,NA,2,15,0,2,0,0,0,0,0,0,0,4,0,0,0,0,26,151,0,0,0,0,0,0,0,0,0,0,0,0,0,5,198
NB,NA,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
NB,NA,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,4
NB,NA,5,0,0,0,2,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
NB,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,0,1,0,0,1,0,0,0,0,0,0,0,4,50
NB,NA,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,34,0,0,0,0,0,3,0,0,0,0,0,0,0,4,71
NB,NA,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,133,0,0,0,0,0,1,0,0,0,0,0,0,0,4,178
NB,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
NB,NA,10,9,0,0,1,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,25
NB,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28
NB,NA,12,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35
NB,NA,13,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,27,0,0,0,0,0,0,0,4,224
NB,NA,14,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,4,195
NB,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80
NB,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,0,0,0,0,0,0,0,2,45
RP,NA,1,3,20,186,13,0,0,0,0,0,0,0,14,1,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,9,247
RP,NA,2,2,0,231,14,7,0,0,0,0,0,15,0,0,1,0,5,2,0,0,0,1,0,0,0,0,0,0,2,0,0,10,280
RP,NA,3,0,21,0,0,14,0,2,0,0,0,16,17,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,100
RP,NA,4,0,45,272,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,5,360
RP,NA,5,7,0,0,7,0,0,1,0,0,0,5,0,0,0,0,37,0,0,0,2,21,0,1,0,0,0,0,2,0,0,9,83
RP,NA,6,2,0,52,0,0,0,0,0,0,0,0,18,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,92
RP,NA,7,2,0,279,0,0,0,0,0,0,0,0,91,0,5,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,525
RP,NA,8,0,86,0,2,7,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,6,132
RP,NA,9,7,18,192,9,2,0,0,0,0,0,0,0,0,0,0,37,1,0,0,4,3,0,0,0,0,0,0,0,0,0,9,273
RP,NA,10,0,15,134,3,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,25,0,12,0,0,0,0,0,0,0,6,283
RP,NA,11,0,0,0,5,7,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,43
RP,NA,12,4,209,703,0,0,0,0,0,1,0,44,83,0,8,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,9,1074
RP,NA,13,1,17,35,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,61
RP,NA,14,8,0,0,0,8,0,1,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32
RP,NA,15,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,12
RP,NA,16,1,0,37,1,17,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,8,72
WI,2012-06-30,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,18,0,1,0,0,0,0,0,0,0,0,4,50
WI,2012-06-30,2,15,0,0,0,6,0,0,0,0,0,0,2,0,1,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,48
WI,2012-06-30,3,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,19,0,0,0,3,0,0,2,0,0,0,0,0,0,0,5,41
WI,2012-06-30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14
WI,2012-06-30,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,16
WI,2012-06-30,6,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,8,15
WI,2012-06-30,7,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
WI,2012-06-30,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5
WI,2012-06-30,9,0,0,9,0,1,0,0,0,0,0,0,0,0,5,0,155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,171
WI,2012-06-30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,2012-06-30,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WI,2012-06-30,12,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,14
WI,2012-06-30,13,0,0,7,0,0,0,0,0,0,0,0,2,0,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,70
WI,2012-06-30,14,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5
WI,2012-06-30,15,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
WI,2012-06-30,16,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,78,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,88
WI,2012-06-30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2
